Crop,Pre-Planting,Planting,Vegetative Growth,Reproductive Stages
Papaya,Organic matter compost,"Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),None recommended
Pomegranate,"Compost, Manure (optional)","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) supplementation (if needed)"
Lentil,Inoculation (Rhizobia bacteria),None recommended,None recommended,None recommended
Black Gram,Inoculation (Rhizobia bacteria),None recommended,None recommended,None recommended
Muskmelon,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) supplementation (if needed)"
Orange,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) and Magnesium (Mg)"
Mung Bean,Inoculation (Rhizobia bacteria),None recommended,None recommended,None recommended
Jute,"Manure, Urea (Nitrogen)",None recommended,,Potash (Potassium) supplementation (if needed)
Chickpea,Inoculation (Rhizobia bacteria),None recommended,None recommended,None recommended
Cotton,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) supplementation (if needed)"
Apple,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) and Calcium (Ca)"
Mango,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) and Magnesium (Mg)"
Maize,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)","Nitrogen (N) top dressing (optional)","Potash (Potassium) supplementation (if needed)"
Kidney Beans,Inoculation (Rhizobia bacteria),None recommended,None recommended,None recommended
Watermelon,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",None recommended,"Potash (Potassium) supplementation (if needed)"
Rice,"Compost, Manure",None recommended,"Nitrogen (N) top dressing",None recommended
Coconut,"Compost, Manure",None recommended,Foliar feeding (micronutrients),"Potash (Potassium) and Magnesium (Mg)"
Pigeon Peas,Inoculation (Rhizobia bacteria),None recommended,None recommended,None recommended
Mothbeans,Inoculation (Rhizobia bacteria),None recommended,None recommended,None recommended
Coffee,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) and Magnesium (Mg)"
Banana,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) supplementation (if needed)"
Grapes,"Compost, Manure","Starter (Nitrogen, Phosphorus, Potassium)",Foliar feeding (micronutrients),"Potash (Potassium) supplementation (if needed)"
